;country_code;code_3;location;sub_regions_id;sub_region;continent_id;continent;population;aged_65_older_percent;gdp_per_capita;hospital_beds_per_thousand
14154;670;VCT;Saint Vincent and the Grenadines;1;Caribbean;1;Americas;110947.0;7.724;10727.146;2.6
14233;678;STP;Sao Tome and Principe;8;Middle Africa;0;Africa;219161.0;2.886;3052.714;2.9
14296;682;SAU;Saudi Arabia;18;Western Asia;2;Asia;34813867.0;3.295;49045.411;2.7
14393;688;SRB;Serbia;16;Southern Europe;3;Europe;6804596.0;17.366;14048.881;5.609
14499;690;SYC;Seychelles;4;Eastern Africa;0;Africa;98340.0;8.606;26382.287;3.6
14587;702;SGP;Singapore;13;South-Eastern Asia;2;Asia;5850343.0;12.922;85535.383;2.4
14750;703;SVK;Slovakia;6;Eastern Europe;3;Europe;5459643.0;15.07;30155.152;5.82
14845;705;SVN;Slovenia;16;Southern Europe;3;Europe;2078932.0;19.062;31400.84;4.5
14942;710;ZAF;South Africa;14;Southern Africa;0;Africa;59308690.0;5.344;12294.876;2.32
15067;410;KOR;South Korea;5;Eastern Asia;2;Asia;51269183.0;13.914;35938.374;12.27
15230;724;ESP;Spain;16;Southern Europe;3;Europe;46754783.0;19.436;34272.36;2.97
15392;144;LKA;Sri Lanka;15;Southern Asia;2;Asia;21413250.0;10.069;11669.077;3.6
15546;729;SDN;Sudan;9;Northern Africa;0;Africa;43849269.0;3.548;4466.507;0.8
15635;740;SUR;Suriname;12;South America;1;Americas;586634.0;6.933;13767.119;3.1
15718;748;SWZ;Swaziland;14;Southern Africa;0;Africa;1160164.0;3.163;7738.975;2.1
15806;752;SWE;Sweden;11;Northern Europe;3;Europe;10099270.0;19.985;46949.283;2.22
15969;756;CHE;Switzerland;19;Western Europe;3;Europe;8654618.0;18.436;57410.166;4.53
16132;762;TJK;Tajikistan;3;Central Asia;2;Asia;9537642.0;3.466;2896.913;4.8
16173;834;TZA;Tanzania;4;Eastern Africa;0;Africa;59734213.0;3.108;2683.304;0.7
16259;764;THA;Thailand;13;South-Eastern Asia;2;Asia;69799978.0;11.373;16277.671;2.1
16415;626;TLS;Timor;13;South-Eastern Asia;2;Asia;1318442.0;3.556;6570.102;5.9
16496;768;TGO;Togo;17;Western Africa;0;Africa;8278737.0;2.839;1429.813;0.7
16585;780;TTO;Trinidad and Tobago;1;Caribbean;1;Americas;1399491.0;10.014;28763.071;3.0
16675;788;TUN;Tunisia;9;Northern Africa;0;Africa;11818618.0;8.001;10849.297;2.3
16769;792;TUR;Turkey;18;Western Asia;2;Asia;84339067.0;8.153;25129.341;2.81
16858;800;UGA;Uganda;4;Eastern Africa;0;Africa;45741000.0;2.168;1697.707;0.5
16939;804;UKR;Ukraine;6;Eastern Europe;3;Europe;43733759.0;16.462;7894.393;8.8
17028;784;ARE;United Arab Emirates;18;Western Asia;2;Asia;9890400.0;1.144;67293.483;1.2
17185;826;GBR;United Kingdom;11;Northern Europe;3;Europe;67886004.0;18.517;39753.244;2.54
17348;840;USA;United States;10;Northern America;1;Americas;331002647.0;15.413;54225.446;2.77
17511;858;URY;Uruguay;12;South America;1;Americas;3473727.0;14.655;20551.409;2.8
17599;860;UZB;Uzbekistan;3;Central Asia;2;Asia;33469199.0;4.469;6253.104;4.0
17686;862;VEN;Venezuela;12;South America;1;Americas;28435943.0;6.614;16745.022;0.8
17774;704;VNM;Vietnam;13;South-Eastern Asia;2;Asia;97338583.0;7.15;6171.884;2.6
17937;887;YEM;Yemen;18;Western Asia;2;Asia;29825968.0;2.922;1479.147;0.7
17999;894;ZMB;Zambia;4;Eastern Africa;0;Africa;18383956.0;2.48;3689.251;2.0
18083;716;ZWE;Zimbabwe;4;Eastern Africa;0;Africa;14862927.0;2.822;1899.775;1.7
