;day_id;date;year;month_of_year;week_of_year;weekday;day_of_year
120;737554;2020-05-09;2020;5;19;5;130
121;737555;2020-05-10;2020;5;19;6;131
122;737556;2020-05-11;2020;5;20;0;132
123;737557;2020-05-12;2020;5;20;1;133
124;737558;2020-05-13;2020;5;20;2;134
125;737559;2020-05-14;2020;5;20;3;135
126;737560;2020-05-15;2020;5;20;4;136
127;737561;2020-05-16;2020;5;20;5;137
128;737562;2020-05-17;2020;5;20;6;138
129;737563;2020-05-18;2020;5;21;0;139
130;737564;2020-05-19;2020;5;21;1;140
131;737565;2020-05-20;2020;5;21;2;141
132;737566;2020-05-21;2020;5;21;3;142
133;737567;2020-05-22;2020;5;21;4;143
134;737568;2020-05-23;2020;5;21;5;144
135;737569;2020-05-24;2020;5;21;6;145
136;737570;2020-05-25;2020;5;22;0;146
137;737571;2020-05-26;2020;5;22;1;147
138;737572;2020-05-27;2020;5;22;2;148
139;737573;2020-05-28;2020;5;22;3;149
140;737574;2020-05-29;2020;5;22;4;150
141;737575;2020-05-30;2020;5;22;5;151
142;737576;2020-05-31;2020;5;22;6;152
143;737577;2020-06-01;2020;6;23;0;153
144;737578;2020-06-02;2020;6;23;1;154
145;737579;2020-06-03;2020;6;23;2;155
146;737580;2020-06-04;2020;6;23;3;156
147;737581;2020-06-05;2020;6;23;4;157
148;737582;2020-06-06;2020;6;23;5;158
149;737583;2020-06-07;2020;6;23;6;159
150;737584;2020-06-08;2020;6;24;0;160
151;737585;2020-06-09;2020;6;24;1;161
152;737586;2020-06-10;2020;6;24;2;162
153;737493;2020-03-09;2020;3;11;0;69
154;737494;2020-03-10;2020;3;11;1;70
156;737496;2020-03-12;2020;3;11;3;72
157;737497;2020-03-13;2020;3;11;4;73
158;737498;2020-03-14;2020;3;11;5;74
310;737488;2020-03-04;2020;3;10;2;64
311;737489;2020-03-05;2020;3;10;3;65
312;737490;2020-03-06;2020;3;10;4;66
490;737491;2020-03-07;2020;3;10;5;67
801;737487;2020-03-03;2020;3;10;1;63
